Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2016-02-06,61,9.0,41,325,194,65,695.0,32,Clear
2016-02-07,36,3.0,59,308,184,25,615.0,38,Clear
2016-02-08,38,10.0,41,286,148,45,568.0,26,Snow
2016-02-09,41,4.0,45,252,154,48,544.0,17,Snow
2016-02-10,59,3.0,53,242,149,59,565.0,14,Clear
2016-02-11,54,1.0,49,281,148,48,581.0,14,Clear
2016-02-12,82,5.0,41,302,148,64,642.0,15,Snow
2016-02-13,61,5.0,36,295,160,39,596.0,10,Clear
2016-02-14,36,4.0,36,242,169,26,513.0,14,"Fog , Snow"
2016-02-15,55,8.0,40,245,154,49,551.0,23,Snow
2016-02-16,44,3.0,32,317,176,52,624.0,29,Snow
2016-02-17,54,6.0,44,287,190,57,638.0,28,Clear
2016-02-18,52,9.0,47,359,169,42,678.0,33,Clear
2016-02-19,82,5.0,53,408,173,49,770.0,52,Clear
2016-02-20,61,3.0,39,317,229,51,700.0,48,Clear
2016-02-21,60,7.0,41,331,240,27,706.0,35,Clear
2016-02-22,54,6.0,37,312,181,48,638.0,35,Clear
2016-02-23,43,7.0,49,304,177,50,630.0,36,Clear
2016-02-24,40,3.0,50,274,168,43,578.0,34,"Fog , Snow"
2016-02-25,107,4.0,50,305,172,58,696.0,34,Snow
